,Features,Importances
3619,PF3D7_1212900,0.0008200287476405376
4054,PF3D7_1302500,0.000815264158935442
350,PF3D7_0211000,0.0008092616306246917
3741,PF3D7_1225200,0.0008085354485158705
7,MAL10.271753.271892.bcgkrvy,0.0008018870593317376
489,PF3D7_0302300,0.0007971114435268957
1856,PF3D7_0728000,0.0007871849081678455
4291,PF3D7_1326200,0.00078630066235329
4327,PF3D7_1329800,0.0007803895651511481
3250,PF3D7_1125700,0.000780375768718692
3384,PF3D7_1139200,0.0007791705923595483
4765,PF3D7_1401900,0.0007771295642212318
1751,PF3D7_0717100,0.0007746865541531717
305,PF3D7_0206400,0.0007728992481684418
1510,PF3D7_0623900,0.0007681945884194985
4341,PF3D7_1331200,0.000765560829386243
4068,PF3D7_1303900,0.0007625315795582274
4181,PF3D7_1315200,0.000761560751562591
76,MAL7.597032.597108.....r..,0.0007540669160066324
2527,PF3D7_0930000,0.0007531833021955065
1995,PF3D7_0809800,0.0007516433180904981
665,PF3D7_0319900,0.0007465685195685265
5378,PF3D7_1463800,0.0007443484934275464
5533,PF3D7_1479500,0.00074421558347925
4644,PF3D7_1362100,0.0007438439987600706
1979,PF3D7_0808000,0.0007433332280846059
3319,PF3D7_1132700,0.0007421894400063774
1397,PF3D7_0612600,0.0007349901524494307
3873,PF3D7_1238600,0.000729291498562392
3462,PF3D7_1147100,0.0007288241914609805
3413,PF3D7_1142100,0.0007281006527210903
3717,PF3D7_1222800,0.000725619640700416
1345,PF3D7_0607500,0.0007241957048001579
3370,PF3D7_1137800,0.000721394045898726
4994,PF3D7_1425500,0.0007188819125330899
2018,PF3D7_0812100,0.0007187160941176894
3309,PF3D7_1131700,0.000711770754631586
1145,PF3D7_0519400,0.0007110197209775527
1693,PF3D7_0710800,0.0007072855401922367
1054,PF3D7_0510200,0.0007061363045293647
2553,PF3D7_0932600,0.0007039146653264333
4442,PF3D7_1341500,0.0007035274372869279
4073,PF3D7_1304400,0.0007005567755675576
5415,PF3D7_1467500,0.0006993476666663774
3670,PF3D7_1218100,0.0006976384804803447
2028,PF3D7_0813000,0.000696354534820985
5133,PF3D7_1439300,0.0006887844177968527
4657,PF3D7_1363400,0.0006883166522385984
279,PF3D7_0203800,0.0006840177371308052
2858,PF3D7_1025400,0.0006800911781200629
769,PF3D7_0406500,0.0006795469561588338
375,PF3D7_0213500,0.0006739124214439075
2325,PF3D7_0909700,0.0006718450093170752
2526,PF3D7_0929900,0.0006672462496994312
1533,PF3D7_0626100,0.0006660123592907404
2153,PF3D7_0825700,0.0006625114568063867
1601,PF3D7_0700900,0.0006596045336048201
66,MAL6.914887.914993.bcgkr..,0.0006563074836056964
4736,PF3D7_1372100,0.0006509310024935862
33,MAL13.2801236.2801354...gk,0.0006464871286708244
5086,PF3D7_1434600,0.000646229997890076
5154,PF3D7_1441400,0.0006423746561654149
3458,PF3D7_1146700,0.0006409096804658855
3532,PF3D7_1204000,0.0006392064659159156
1166,PF3D7_0521500,0.0006389247602439742
2947,PF3D7_1034400,0.0006388049593576912
4750,PF3D7_1400300,0.0006386186449601508
1181,PF3D7_0523000,0.0006375477773399665
956,PF3D7_0500300,0.0006373232884126251
3133,PF3D7_1113900,0.0006283884787642685
2109,PF3D7_0821300,0.000626962117542016
449,PF3D7_0220900,0.0006257400207034348
217,PF3D7_0112800,0.0006252843555248944
155,PF3D7_0106200,0.0006248914716931558
5341,PF3D7_1460100,0.0006185184380906937
4845,PF3D7_1409800,0.0006158814196954318
4703,PF3D7_1368000,0.0006140685232507834
995,PF3D7_0504300,0.0006131533738896067
1710,PF3D7_0712900,0.000611356258194902
4841,PF3D7_1409400,0.0006082084132990436
1640,PF3D7_0705200,0.0006076471354933838
355,PF3D7_0211500,0.0006013543926730996
3140,PF3D7_1114700,0.0006003023615957994
3256,PF3D7_1126300,0.0005991513564239666
5534,PF3D7_1479600,0.0005981002125673863
813,PF3D7_0410900,0.0005958134323314785
3687,PF3D7_1219800,0.0005941810596989976
5413,PF3D7_1467300,0.0005925994520912405
3581,PF3D7_1209000,0.0005897088544370398
523,PF3D7_0305700,0.00058847274824452
4772,PF3D7_1402600,0.0005862352983132852
2583,PF3D7_0935600,0.0005852877393200278
1277,PF3D7_0533000,0.0005847731067945271
888,PF3D7_0419000,0.000582416318163136
5223,PF3D7_1448300,0.0005784003608436516
2812,PF3D7_1020800,0.000578252935562683
4469,PF3D7_1344200,0.000577545961593444
1678,PF3D7_0709300,0.0005711592924901274
3113,PF3D7_1111900,0.0005667571686590811
3014,PF3D7_1100700,0.0005650930319549564
3607,PF3D7_1211600,0.0005637274239520526
4612,PF3D7_1358800,0.0005631057282831204
5267,PF3D7_1452700,0.0005626259119832638
1877,PF3D7_0730100,0.0005610515849056549
3401,PF3D7_1140900,0.0005607298516257992
2784,PF3D7_1018000,0.0005604088947767536
3701,PF3D7_1221200,0.0005572300911948437
5523,PF3D7_1478300,0.0005568319552157333
1538,PF3D7_0626600,0.0005554907004570275
2638,PF3D7_1003300,0.0005545543769336895
579,PF3D7_0311200,0.0005524379443261994
5158,PF3D7_1441800,0.000549231212180518
1506,PF3D7_0623500,0.0005489327936020371
