,Feature,W,Scaled
1295,PF3D7_0602500,1.154578685760498,0.20443726
2688,PF3D7_1008400,1.1545783281326294,0.20428467
5306,PF3D7_1456600,1.1545782089233398,0.20422363
597,PF3D7_0313200,1.1545780897140503,0.20419312
301,PF3D7_0206000,1.1545780897140503,0.20419312
4204,PF3D7_1317500,1.1545777320861816,0.20404053
1102,PF3D7_0515100,1.154577374458313,0.20388794
1854,PF3D7_0727800,1.154577374458313,0.20388794
3707,PF3D7_1221800,1.1545770168304443,0.20376587
5039,PF3D7_1429900,1.1545754671096802,0.203125
4452,PF3D7_1342500,1.1545753479003906,0.20309448
3012,PF3D7_1100400,1.1545753479003906,0.20309448
616,PF3D7_0315100,1.1545751094818115,0.20297241
352,PF3D7_0211200,1.15457284450531,0.20205688
3729,PF3D7_1224000,1.1545727252960205,0.20202637
397,PF3D7_0215700,1.1545722484588623,0.20184326
2102,PF3D7_0820600,1.154571533203125,0.20153809
129,PF3D7_0103600,1.154571294784546,0.20144653
1751,PF3D7_0717100,1.1545706987380981,0.2012024
4811,PF3D7_1406400,1.1545705795288086,0.20114136
5290,PF3D7_1455000,1.154570460319519,0.20111084
1004,PF3D7_0505200,1.1545701026916504,0.20095825
5391,PF3D7_1465100,1.1545698642730713,0.2008667
3126,PF3D7_1113200,1.1545697450637817,0.20080566
2629,PF3D7_1002400.1,1.1545692682266235,0.20062256
5414,PF3D7_1467400,1.1545689105987549,0.20046997
2563,PF3D7_0933600,1.1545686721801758,0.20037842
208,PF3D7_0111600,1.1545684337615967,0.20028687
4114,PF3D7_1308500,1.154567837715149,0.20004272
460,PF3D7_0222400,1.1545672416687012,0.19979858
5073,PF3D7_1433300,1.154565453529358,0.19909668
3691,PF3D7_1220200,1.1545652151107788,0.19897461
2299,PF3D7_0907100,1.1545652151107788,0.19897461
1317,PF3D7_0604700,1.1545649766921997,0.19888306
3238,PF3D7_1124500,1.1545644998550415,0.19869995
3060,PF3D7_1106600,1.1545642614364624,0.1986084
3793,PF3D7_1230400,1.1545640230178833,0.19851685
335,PF3D7_0209400,1.1545634269714355,0.1982727
1424,PF3D7_0615300,1.154563069343567,0.19812012
5031,PF3D7_1429100,1.1545629501342773,0.19805908
228,PF3D7_0114000,1.1545624732971191,0.19787598
2660,PF3D7_1005500,1.1545616388320923,0.19754028
5262,PF3D7_1452200,1.1545615196228027,0.19747925
4938,PF3D7_1419500,1.1545614004135132,0.19744873
1999,PF3D7_0810200,1.1545612812042236,0.1973877
1848,PF3D7_0727200,1.154561161994934,0.19735718
3897,PF3D7_1241300,1.1545608043670654,0.19720459
3064,PF3D7_1107000,1.1545603275299072,0.19702148
4467,PF3D7_1344000,1.1545603275299072,0.19702148
4088,PF3D7_1305900,1.1545599699020386,0.1968689
4514,PF3D7_1348700,1.154559850692749,0.19680786
4764,PF3D7_1401800,1.1545593738555908,0.19662476
3841,PF3D7_1235400,1.1545590162277222,0.19647217
3737,PF3D7_1224800,1.154557704925537,0.19595337
4127,PF3D7_1309800,1.154557704925537,0.19595337
2236,PF3D7_0900700,1.154557466506958,0.19586182
3270,PF3D7_1127700,1.1545569896697998,0.1956482
153,PF3D7_0106000,1.1545569896697998,0.1956482
712,PF3D7_0400300,1.154556393623352,0.19543457
2470,PF3D7_0924300,1.1545560359954834,0.19528198
2705,PF3D7_1010100,1.1545560359954834,0.19528198
5497,PF3D7_1475700,1.154555320739746,0.1949768
4553,PF3D7_1352600,1.1545552015304565,0.19494629
4038,PF3D7_1300600,1.1545542478561401,0.19454956
4035,PF3D7_1300300,1.1545541286468506,0.19451904
2302,PF3D7_0907400,1.1545536518096924,0.19430542
1342,PF3D7_0607200,1.1545532941818237,0.19415283
3121,PF3D7_1112700,1.1545528173446655,0.19396973
4590,PF3D7_1356400,1.1545523405075073,0.19378662
370,PF3D7_0213000,1.1545521020889282,0.19369507
374,PF3D7_0213400,1.1545519828796387,0.19363403
2875,PF3D7_1027200,1.154551386833191,0.1933899
2916,PF3D7_1031300,1.1545511484146118,0.19329834
4093,PF3D7_1306400,1.1545507907867432,0.19314575
799,PF3D7_0409500,1.1545501947402954,0.19290161
3366,PF3D7_1137400,1.1545500755310059,0.1928711
161,PF3D7_0106800,1.1545497179031372,0.1927185
4001,PF3D7_1251700,1.154549479484558,0.19262695
2567,PF3D7_0934000,1.1545490026474,0.19244385
772,PF3D7_0406800,1.1545488834381104,0.19238281
1318,PF3D7_0604800,1.1545484066009521,0.1921997
289,PF3D7_0204800,1.154548168182373,0.19210815
3938,PF3D7_1245400,1.1545480489730835,0.19204712
